Index,Country,GDP_Growth,Year,
1,Libya,64,2017,est.
2,Northern Mariana Islands,28.6,2016,est.
3,Falkland Islands (Islas Malvinas),25.5,2015,est.
4,Turks and Caicos Islands,11.2,2007,est.
5,Ethiopia,10.9,2017,est.
6,Macau,9.1,2017,est.
7,Ghana,8.4,2017,est.
8,Guinea,8.2,2017,est.
9,Nepal,7.9,2017,est.
10,Cote d'Ivoire,7.8,2017,est.
11,Greenland,7.7,2016,est.
12,Armenia,7.5,2017,est.
13,Bangladesh,7.4,2017,est.
14,Bhutan,7.4,2017,est.
15,Montserrat,7.4,2011,est.
16,Turkey,7.4,2017,est.
17,Ireland,7.2,2017,est.
18,Senegal,7.2,2017,est.
19,Tajikistan,7.1,2017,est.
20,Cambodia,6.9,2017,est.
21,China,6.9,2017,est.
22,Laos,6.9,2017,est.
23,Romania,6.9,2017,est.
24,Burma,6.8,2017,est.
25,Vietnam,6.8,2017,est.
26,Djibouti,6.7,2017,est.
27,India,6.7,2017,est.
28,Malta,6.7,2017,est.
29,Philippines,6.7,2017,est.
30,Turkmenistan,6.5,2017,est.
31,Burkina Faso,6.4,2017,est.
32,Niue,6.2,2003,est.
33,Rwanda,6.1,2017,est.
34,Tanzania,6,2017,est.
35,Faroe Islands,5.9,2017,est.
36,Guinea-Bissau,5.9,2017,est.
37,Malaysia,5.9,2017,est.
38,Benin,5.6,2017,est.
39,Mali,5.4,2017,est.
40,Monaco,5.4,2015,est.
41,Pakistan,5.4,2017,est.
42,Panama,5.4,2017,est.
43,Seychelles,5.3,2017,est.
44,Uzbekistan,5.3,2017,est.
45,West Bank,5.3,2014,est.
46,Grenada,5.1,2017,est.
47,Indonesia,5.1,2017,est.
48,Mongolia,5.1,2017,est.
49,Eritrea,5,2017,est.
50,Georgia,5,2017,est.
51,Slovenia,5,2017,est.
52,Estonia,4.9,2017,est.
53,Kenya,4.9,2017,est.
54,Nicaragua,4.9,2017,est.
55,Niger,4.9,2017,est.
56,Honduras,4.8,2017,est.
57,Maldives,4.8,2017,est.
58,Paraguay,4.8,2017,est.
59,Uganda,4.8,2017,est.
60,Poland,4.7,2017,est.
61,Dominican Republic,4.6,2017,est.
62,"Gambia, The",4.6,2017,est.
63,Kyrgyzstan,4.6,2017,est.
64,Latvia,4.5,2017,est.
65,Moldova,4.5,2017,est.
66,Togo,4.4,2017,est.
67,Central African Republic,4.3,2017,est.
68,Czechia,4.3,2017,est.
69,Montenegro,4.3,2017,est.
70,Bolivia,4.2,2017,est.
71,Egypt,4.2,2017,est.
72,Madagascar,4.2,2017,est.
73,Vanuatu,4.2,2017,est.
74,Morocco,4.1,2017,est.
75,Cabo Verde,4,2017,est.
76,Hungary,4,2017,est.
77,Iceland,4,2017,est.
78,Kazakhstan,4,2017,est.
79,Malawi,4,2017,est.
80,Nauru,4,2017,est.
81,Cyprus,3.9,2017,est.
82,Lithuania,3.9,2017,est.
83,Sao Tome and Principe,3.9,2017,est.
84,Thailand,3.9,2017,est.
85,Albania,3.8,2017,est.
86,Bahrain,3.8,2017,est.
87,Hong Kong,3.8,2017,est.
88,Mauritius,3.8,2017,est.
89,Iran,3.7,2017,est.
90,Kosovo,3.7,2017,est.
91,Mozambique,3.7,2017,est.
92,Sierra Leone,3.7,2017,est.
93,Zimbabwe,3.7,2017,est.
94,Bulgaria,3.6,2017,est.
95,Curacao,3.6,2012,est.
96,Singapore,3.6,2017,est.
97,Sint Maarten,3.6,2014,est.
98,Cameroon,3.5,2017,est.
99,Mauritania,3.5,2017,est.
100,Solomon Islands,3.5,2017,est.
101,"Congo, Democratic Republic of the",3.4,2017,est.
102,Slovakia,3.4,2017,est.
103,Zambia,3.4,2017,est.
104,Costa Rica,3.3,2017,est.
105,Israel,3.3,2017,est.
106,Sri Lanka,3.3,2017,est.
107,Tuvalu,3.2,2017,est.
108,Kiribati,3.1,2017,est.
109,"Korea, South",3.1,2017,est.
