,COUNTRY,AIRPORTS,YEAR
1,United States,"13,513",2013
2,Brazil,"4,093",2013
3,Mexico,"1,714",2013
4,Canada,"1,467",2013
5,Russia,"1,218",2013
6,Argentina,"1,138",2013
7,Bolivia,855,2013
8,Colombia,836,2013
9,Paraguay,799,2013
10,Indonesia,673,2013
11,Papua New Guinea,561,2013
12,Germany,539,2013
13,China,507,2013
14,Chile,481,2013
15,Australia,480,2013
16,France,464,2013
17,United Kingdom,460,2013
18,Venezuela,444,2013
19,Ecuador,432,2013
20,South Africa,407,2020
21,India,346,2013
22,Iran,319,2013
23,Guatemala,291,2013
24,Philippines,247,2013
25,Sweden,231,2013
26,Saudi Arabia,214,2013
27,"Congo, Democratic Republic of the",198,2013
28,Kenya,197,2013
29,Zimbabwe,196,2013
30,Peru,191,2013
31,Ukraine,187,2013
32,Angola,176,2013
33,Japan,175,2013
34,Tanzania,166,2013
35,Costa Rica,161,2013
36,Algeria,157,2016
37,Pakistan,151,2013
38,Finland,148,2013
39,Nicaragua,147,2013
40,Libya,146,2013
41,Spain,135,2020
42,Cuba,133,2017
43,Uruguay,133,2013
44,Oman,132,2013
45,Italy,129,2013
46,Czechia,128,2013
47,Poland,126,2013
48,New Zealand,123,2013
49,Guyana,117,2013
50,Panama,117,2013
51,Malaysia,114,2013
52,Namibia,112,2013
53,"Korea, South",111,2013
54,Honduras,103,2013
55,Iraq,102,2013
56,Thailand,101,2013
57,Mozambique,98,2013
58,Turkey,98,2013
59,Iceland,96,2013
60,Kazakhstan,96,2013
61,Norway,95,2013
62,Syria,90,2013
63,South Sudan,89,2020
64,Zambia,88,2013
65,Egypt,83,2013
66,Madagascar,83,2013
67,"Korea, North",82,2013
68,Denmark,80,2013
69,Greece,77,2013
70,Botswana,74,2013
71,Croatia,69,2013
72,Bulgaria,68,2013
73,El Salvador,68,2013
74,Sudan,67,2020
75,Belarus,65,2013
76,Burma,64,2013
77,Portugal,64,2013
78,Switzerland,63,2013
79,"Bahamas, The",61,2013
80,Lithuania,61,2013
81,Chad,59,2013
82,Ethiopia,57,2013
83,Yemen,57,2013
84,Morocco,55,2013
85,Suriname,55,2013
86,French Polynesia,54,2013
87,Nigeria,54,2013
88,Uzbekistan,53,2013
89,Austria,52,2013
90,Somalia,52,2020
91,Belize,47,2013
92,Nepal,47,2013
93,Uganda,47,2013
94,Romania,45,2013
95,Vietnam,45,2013
96,Gabon,44,2013
97,Mongolia,44,2013
98,Afghanistan,43,2016
99,United Arab Emirates,43,2013
100,Israel,42,2020
101,Latvia,42,2013
102,Belgium,41,2013
103,Hungary,41,2013
104,Laos,41,2013
105,Ireland,40,2013
106,Central African Republic,39,2013
107,Azerbaijan,37,2013
108,Taiwan,37,2013
109,Dominican Republic,36,2013
110,Solomon Islands,36,2013
111,Slovakia,35,2013
112,Cameroon,33,2013
113,Malawi,32,2013
114,Vanuatu,31,2013
115,Mauritania,30,2013
116,Niger,30,2013
117,Liberia,29,2013
118,Netherlands,29,2013
119,Puerto Rico,29,2013
120,Tunisia,29,2013
121,Fiji,28,2013
122,Jamaica,28,2013
123,Kyrgyzstan,28,2013
124,"Congo, Republic of the",27,2013
125,Cote d'Ivoire,27,2013
126,Serbia,26,2013
127,Turkmenistan,26,2013
128,Mali,25,2013
129,New Caledonia,25,2013
130,Bosnia and Herzegovina,24,2013
131,Lesotho,24,2013
132,Tajikistan,24,2013
133,Antarctica,23,2013
134,Burkina Faso,23,2013
135,Georgia,22,2013
136,Senegal,20,2013
137,Kiribati,19,2013
138,Bangladesh,18,2013
139,Estonia,18,2013
140,Jordan,18,2013
141,Sri Lanka,18,2020
142,Cambodia,16,2013
143,Guinea,16,2013
144,Slovenia,16,2020
145,Cyprus,15,2013
