,country,other_renewable_percentage_of_electricity_production,year,
1,Timor-Leste,100,2017,est.
2,Luxembourg,67,2017,est.
3,Denmark,54,2017,est.
4,Germany,52,2017,est.
5,Uruguay,42,2017,est.
6,Eswatini,41,2017,est.
7,United Kingdom,39,2017,est.
8,Belgium,36,2017,est.
9,Nicaragua,35,2017,est.
10,Portugal,35,2017,est.
11,Honduras,34,2017,est.
12,Ireland,33,2017,est.
13,Kenya,33,2017,est.
14,Italy,32,2017,est.
15,Spain,32,2017,est.
16,Sweden,32,2017,est.
17,Austria,31,2017,est.
18,El Salvador,29,2017,est.
19,Greece,29,2017,est.
20,Samoa,29,2017,est.
21,Vanuatu,29,2017,est.
22,Estonia,28,2017,est.
23,Guatemala,28,2017,est.
24,Fiji,27,2017,est.
25,Kiribati,27,2017,est.
26,Falkland Islands (Islas Malvinas),26,2017,est.
27,Sierra Leone,26,2017,est.
28,Tonga,26,2017,est.
29,Iceland,25,2017,est.
30,Finland,23,2017,est.
31,Lithuania,23,2017,est.
32,Netherlands,23,2017,est.
33,Belize,22,2017,est.
34,West Bank,22,2017,est.
35,Cabo Verde,21,2017,est.
36,Cook Islands,21,2017,est.
37,Yemen,21,2017,est.
38,Japan,20,2017,est.
39,Mauritania,20,2017,est.
40,New Zealand,20,2017,est.
41,Bulgaria,19,2017,est.
42,France,19,2017,est.
43,Malta,19,2017,est.
44,Poland,19,2017,est.
45,Romania,19,2017,est.
46,Brazil,18,2017,est.
47,China,18,2017,est.
48,Costa Rica,18,2017,est.
49,Australia,17,2017,est.
50,Croatia,16,2017,est.
51,Czechia,16,2017,est.
52,Faroe Islands,16,2017,est.
53,India,16,2017,est.
54,Philippines,16,2017,est.
55,Thailand,16,2017,est.
56,Andorra,15,2010,est.
57,Chile,15,2017,est.
58,Cyprus,15,2017,est.
59,Jamaica,15,2017,est.
60,Morocco,15,2017,est.
61,Burundi,14,2017,est.
62,Mauritius,14,2017,est.
63,Nauru,14,2017,est.
64,Turkey,14,2017,est.
65,United States,14,2017,est.
66,Aruba,13,2017,est.
67,Hungary,13,2017,est.
68,Niue,13,2017,est.
69,Panama,13,2017,est.
70,Slovakia,13,2017,est.
71,Switzerland,13,2017,est.
72,Burkina Faso,12,2017,est.
73,Canada,12,2017,est.
74,Jordan,12,2017,est.
75,Uganda,12,2017,est.
76,Ethiopia,11,2017,est.
77,French Polynesia,11,2017,est.
78,Guyana,11,2017,est.
79,Mongolia,11,2017,est.
80,Senegal,11,2017,est.
81,South Africa,10,2017,est.
82,Mexico,9,2017,est.
83,Seychelles,9,2017,est.
84,Slovenia,9,2017,est.
85,Cuba,8,2017,est.
86,"Korea, South",8,2017,est.
87,Latvia,8,2017,est.
88,Montenegro,8,2017,est.
89,Namibia,8,2017,est.
90,Solomon Islands,8,2017,est.
91,Barbados,7,2017,est.
92,Bolivia,7,2017,est.
93,Dominican Republic,7,2017,est.
94,Pakistan,7,2017,est.
95,Papua New Guinea,7,2017,est.
96,Rwanda,7,2017,est.
97,Somalia,7,2017,est.
98,Guam,6,2017,est.
99,Indonesia,6,2017,est.
100,Malawi,6,2017,est.
101,New Caledonia,6,2017,est.
102,Saint Kitts and Nevis,6,2017,est.
103,Sri Lanka,6,2017,est.
104,Sudan,6,2017,est.
