,continent_name,country,Area_sqKm,refined_petroleum_consumption_barrels_per_day,number_of_internet_users,hydro_percentage_of_electricity_production,nuclear_percentage_of_electricity_production,other_renewable_percentage_of_electricity_production,mili_exp_gdp,carbon_emissions_from_energy_consumption_MT,Population,non_fossil_electricity,mili_log,co2_log,renew_log,area_log,petrol_log,int_log,pop_log
0,Asia,Afghanistan,652230,35000,2677502,52,0,4,99,9067000,36643815,5600,1.995635195,6.957463616,3.748188027,5.814400771,4.544068044,6.427729804,7.564000682
1,Europe,Albania,28748,29000,2016516,95,0,0,126,4500000,3074579,9500,2.100370545,6.653212514,3.977723605,4.458607636,4.462397998,6.304601672,6.487785657
3,Africa,Algeria,2381740,405000,17291463,1,0,2,527,135900000,42972878,300,2.721810615,8.133219457,2.477121255,6.37689435,5.607455023,7.23783174,7.63319444
4,Oceania,American Samoa,224,2375,17000,0,0,2,0,361100,49437,200,#NAME?,5.557627488,2.301029996,2.350248018,3.375663614,4.230448921,4.694052108
6,Africa,Angola,1246700,130000,2622403,64,0,2,178,20950000,32522339,6600,2.250420002,7.321184027,3.819543936,6.095761959,5.113943352,6.418699433,7.512181772
7,North America,Antigua and Barbuda,442.6,5000,60000,0,0,3,0,740300,98179,300,#NAME?,5.869407749,2.477121255,2.64601141,3.698970004,4.77815125,4.992018604
8,Europe,Azerbaijan,86600,100000,7720502,14,0,2,377,35600000,10205810,1600,2.57634135,7.551449998,3.204119983,4.937517892,5,6.88764554,7.008847479
9,Asia,Azerbaijan,86600,100000,7720502,14,0,2,377,35600000,10205810,1600,2.57634135,7.551449998,3.204119983,4.937517892,5,6.88764554,7.008847479
10,South America,Argentina,2780400,806000,30786889,24,4,3,86,203700000,45479118,3100,1.934498451,8.308991029,3.491361694,6.44410728,5.906335042,7.488365806,7.657812034
11,Oceania,Australia,7741220,1175000,20288409,11,0,17,189,439100000,25466459,2800,2.276461804,8.642563437,3.447158031,6.88880941,6.070037867,7.307247991,7.405968562
12,Europe,Austria,83871,268000,7346055,43,0,31,74,63930000,8859449,7400,1.86923172,7.805704704,3.86923172,4.923611821,5.428134794,6.866054176,6.947406712
14,Asia,Bahrain,760,61000,1351326,0,0,0,360,37980000,1505003,0,2.556302501,7.57955496,#NAME?,2.880813592,4.785329835,6.130760133,6.177537366
15,Asia,Bangladesh,148460,106000,28499324,2,0,2,137,79970000,162650853,400,2.136720567,7.902927096,2.602059991,5.171609456,5.025305865,7.454834559,8.211256345
16,Europe,Armenia,29743,8000,1891775,32,9,0,425,5501000,3021324,4100,2.62838893,6.740441645,3.612783857,4.473384771,3.903089987,6.276869482,6.480197301
17,Asia,Armenia,29743,8000,1891775,32,9,0,425,5501000,3021324,4100,2.62838893,6.740441645,3.612783857,4.473384771,3.903089987,6.276869482,6.480197301
18,North America,Barbados,430,11000,231883,0,0,7,0,1760000,294560,700,#NAME?,6.245512668,2.84509804,2.633468456,4.041392685,5.36526891,5.469173771
19,Europe,Belgium,30528,648600,9870734,1,28,36,93,134700000,11720716,6500,1.968482949,8.129367596,3.812913357,4.484698353,5.811976944,6.994349449,7.068954143
20,North America,Bermuda,54,5000,69126,0,0,0,0,793700,71750,0,#NAME?,5.89965638,#NAME?,1.73239376,3.698970004,4.839641427,4.855821905
21,Asia,Bhutan,38394,3000,313347,99,0,0,0,604900,782318,9900,#NAME?,5.781683585,3.995635195,4.584263361,3.477121255,5.496025541,5.893383323
22,South America,Bolivia,1098581,83000,4354678,18,0,7,150,17660000,11639909,2500,2.176091259,7.246990699,3.397940009,6.040832084,4.919078092,6.638956047,7.065949585
23,Europe,Bosnia and Herzegovina,51197,32000,2677502,51,0,1,111,22070000,3835586,5200,2.045322979,7.343802333,3.716003344,4.709244513,4.505149978,6.427729804,6.583831725
24,Africa,Botswana,581730,21000,869610,0,0,0,278,6235000,2317233,0,2.444044796,6.794836458,#NAME?,5.764721461,4.322219295,5.939324525,6.364969705
26,South America,Brazil,8515770,2956000,122841218,64,1,18,148,513800000,211715973,8300,2.170261715,8.7107941,3.919078092,6.930223923,6.47070443,8.089344114,8.325753625
